Name, mfcc,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,spec_centroid,-,-,-,-,-,-,spec_bandwidth,-,-,-,-,-,-,spec_contrast,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,spec_flatness,-,-,-,-,-,-,rolloff,-,-,-,-,-,-,rms,-,-,-,-,-,-,f0,-,-,-,-,-,-,zero_crossing_rate,-,-,-,-,-,-
MT0009845271.mp3,0.706921,0.809523,0.824383,0.895301,0.717265,0.910624,0.000000,0.928895,0.811873,0.811881,0.838968,0.928081,1.000000,0.835619,0.797379,0.812107,0.812039,0.836249,0.796952,0.877334,0.715141,0.854313,0.812218,0.812147,0.829651,0.854136,0.917203,0.807036,0.817619,0.811679,0.812019,0.827474,0.818979,0.863607,0.764050,0.813854,0.811385,0.812147,0.828339,0.815653,0.853382,0.743227,0.808912,0.811886,0.811959,0.825478,0.809564,0.852084,0.767088,0.818287,0.811929,0.813537,0.823789,0.818581,0.876055,0.775060,0.806815,0.811554,0.812782,0.824274,0.807339,0.842940,0.751160,0.831432,0.812194,0.812017,0.823979,0.830898,0.870484,0.798904,0.805822,0.811519,0.812015,0.823032,0.806781,0.837438,0.769438,0.820117,0.812099,0.813768,0.823001,0.820525,0.878560,0.785518,0.808744,0.812071,0.812431,0.821518,0.808119,0.837874,0.766232,0.508918,0.000000,0.000314,0.099195,0.501163,1.000000,0.273952,0.714258,0.000095,0.000000,0.083293,0.708740,1.000000,0.526558,0.314937,0.019117,0.039246,0.092737,0.306187,0.843577,0.103443,0.292136,0.013236,0.016594,0.075332,0.287328,0.676172,0.115416,0.367204,0.008840,0.007883,0.089081,0.362142,0.733667,0.137527,0.363523,0.009467,0.000000,0.076299,0.357773,0.618324,0.175752,0.365934,0.014638,0.017875,0.071756,0.361263,0.724840,0.201796,0.382367,0.021503,0.027302,0.072800,0.370297,0.706800,0.236967,0.663531,0.037201,0.097042,0.064574,0.649181,1.000000,0.547068,0.004476,0.283990,1.000000,0.003899,0.003233,0.032744,0.000000,0.601183,0.000104,0.000000,0.132727,0.592030,1.000000,0.359596,0.585446,0.331510,0.000000,0.321194,0.584487,1.000000,0.182734,0.013706,0.000000,0.017083,0.052051,0.004753,1.000000,0.000714,0.013864,0.215319,1.000000,0.000000,0.013396,0.062715,0.000462
MT0012742379.mp3,0.498207,0.742640,0.748222,0.849528,0.520118,0.684362,0.000000,0.926623,0.741540,0.758342,0.774900,0.929355,1.000000,0.735249,0.660987,0.744856,0.744101,0.778470,0.657800,0.762782,0.563436,0.810852,0.744347,0.745097,0.765586,0.812609,0.882699,0.741403,0.727329,0.744282,0.745282,0.772574,0.727728,0.810942,0.640674,0.762510,0.744112,0.746205,0.761757,0.764351,0.833437,0.703962,0.739027,0.744816,0.743999,0.762476,0.738147,0.794425,0.694460,0.739841,0.744497,0.744091,0.758590,0.739271,0.784352,0.691309,0.736975,0.743785,0.745052,0.758188,0.737963,0.772426,0.684810,0.742652,0.744216,0.746470,0.758255,0.742408,0.790111,0.689565,0.746161,0.745161,0.744616,0.757052,0.744474,0.790993,0.711610,0.730385,0.744359,0.744668,0.757823,0.730565,0.772662,0.684100,0.738730,0.745167,0.745022,0.758255,0.737219,0.787126,0.695731,0.508231,0.000000,0.000400,0.100970,0.510096,1.000000,0.204055,0.637622,0.000000,0.000149,0.084030,0.625081,1.000000,0.348127,0.426566,0.037830,0.071155,0.115712,0.419009,0.945222,0.149457,0.297073,0.036345,0.044823,0.096123,0.288616,0.627215,0.055432,0.378685,0.026282,0.022274,0.105337,0.378022,0.696407,0.167547,0.400058,0.034458,0.036546,0.107028,0.386764,0.818384,0.200711,0.451117,0.034349,0.030019,0.116521,0.436368,0.875985,0.221739,0.562438,0.018577,0.010850,0.127865,0.567746,0.894698,0.290673,0.783572,0.000000,0.053796,0.121202,0.800818,1.000000,0.261291,0.000001,0.035148,1.000000,0.000005,0.000000,0.000160,0.000000,0.563908,0.000000,0.000245,0.100218,0.561473,1.000000,0.247730,0.009594,0.224582,1.000000,0.006215,0.008673,0.057008,0.000000,0.022356,0.000000,0.011922,0.055680,0.005855,1.000000,0.001116,0.452558,0.176601,0.205256,0.115752,0.448485,1.000000,0.000000
MT0009188643.mp3,0.711268,0.794928,0.808816,0.894515,0.725062,0.884456,0.000000,0.886170,0.798162,0.797975,0.829050,0.882421,1.000000,0.797451,0.837386,0.798239,0.798411,0.825326,0.835734,0.943406,0.741325,0.838641,0.798108,0.798667,0.817783,0.837522,0.914235,0.783822,0.803890,0.797795,0.799707,0.819596,0.804159,0.900172,0.732182,0.816435,0.797298,0.798499,0.812150,0.817190,0.867986,0.752398,0.799142,0.798101,0.798849,0.813992,0.798530,0.858547,0.749972,0.809766,0.797609,0.798411,0.812308,0.810338,0.859359,0.755685,0.797774,0.797882,0.798368,0.811242,0.797200,0.841871,0.751148,0.810480,0.797483,0.798724,0.809287,0.810203,0.849365,0.756953,0.797841,0.798162,0.798314,0.808088,0.797282,0.835886,0.771243,0.805659,0.798016,0.798516,0.807941,0.804965,0.846122,0.768684,0.797448,0.797687,0.799030,0.808326,0.797577,0.852734,0.759497,0.527577,0.000000,0.000020,0.123234,0.528387,1.000000,0.165021,0.774974,0.000011,0.000000,0.085586,0.771881,1.000000,0.500097,0.412033,0.026893,0.043926,0.114496,0.399450,1.000000,0.154526,0.296356,0.020149,0.021173,0.092313,0.289782,0.693796,0.106697,0.383010,0.017244,0.007473,0.112396,0.375719,0.816665,0.148278,0.386634,0.017986,0.000000,0.108187,0.374731,0.694633,0.162189,0.391721,0.024349,0.008622,0.103359,0.371099,0.679983,0.211393,0.379536,0.034817,0.037413,0.096995,0.356019,0.746663,0.219085,0.699488,0.025116,0.011839,0.089200,0.684100,0.973033,0.531408,0.017116,0.567734,1.000000,0.017933,0.010786,0.095823,0.000000,0.743687,0.000000,0.000222,0.129796,0.755055,1.000000,0.117527,0.434745,0.000000,1.000000,0.346927,0.434532,0.527163,0.317181,0.027914,0.000000,0.003182,0.125084,0.004380,1.000000,0.001377,0.073399,0.613359,1.000000,0.029564,0.068043,0.258735,0.000000
MT0011560587.mp3,0.505922,0.703898,0.714358,0.775999,0.521217,0.615659,0.000000,0.929909,0.705101,0.710058,0.740124,0.933317,1.000000,0.706330,0.646825,0.706906,0.706896,0.737059,0.644256,0.761415,0.568668,0.771603,0.706324,0.705765,0.726691,0.771044,0.821880,0.706330,0.663329,0.706827,0.706518,0.725852,0.661794,0.733745,0.608259,0.714951,0.706650,0.706335,0.720010,0.715365,0.763644,0.679767,0.697133,0.706941,0.706945,0.719845,0.695600,0.745836,0.655029,0.675146,0.706772,0.707893,0.717746,0.674670,0.721232,0.634373,0.706403,0.706203,0.706626,0.716743,0.706783,0.741335,0.673969,0.685669,0.707138,0.708569,0.716737,0.685195,0.731539,0.639976,0.712208,0.706458,0.706334,0.716753,0.711986,0.752253,0.682150,0.691397,0.706523,0.707229,0.717326,0.691409,0.736616,0.657818,0.691909,0.706452,0.706250,0.716324,0.691722,0.728548,0.664548,0.516369,0.000366,0.000000,0.164406,0.486512,1.000000,0.202726,0.661973,0.000221,0.000000,0.119686,0.655658,1.000000,0.302931,0.424119,0.034045,0.039347,0.117295,0.413142,0.870539,0.133459,0.311779,0.027623,0.023240,0.084228,0.307908,0.537227,0.129448,0.392488,0.030664,0.034064,0.090167,0.387090,0.727825,0.208676,0.415396,0.028005,0.021165,0.097864,0.408165,0.692572,0.217906,0.424755,0.029952,0.019900,0.106097,0.416170,0.738687,0.221672,0.563724,0.026706,0.018912,0.132431,0.559688,1.000000,0.286848,0.603825,0.000000,0.025039,0.167427,0.648814,0.906745,0.235246,0.000000,0.032824,1.000000,0.000001,0.000000,0.000025,0.000000,0.513319,0.000236,0.000000,0.199998,0.483568,1.000000,0.125700,0.751207,0.000000,1.000000,0.653559,0.757357,0.869936,0.604609,0.016688,0.000000,0.027113,0.044938,0.006424,1.000000,0.000551,0.058109,1.000000,0.466358,0.016497,0.047524,0.215214,0.000000
MT0001605268.mp3,0.637878,0.770720,0.786109,0.878088,0.656151,0.810263,0.000000,0.907968,0.773416,0.775210,0.810295,0.908762,1.000000,0.773992,0.761285,0.774367,0.773645,0.799379,0.759663,0.836527,0.704728,0.800354,0.774268,0.773984,0.792802,0.799923,0.866379,0.749745,0.770793,0.773908,0.775397,0.790907,0.771179,0.850146,0.713819,0.777044,0.773582,0.774591,0.787766,0.777171,0.823160,0.727388,0.766132,0.773390,0.774981,0.788868,0.767064,0.808528,0.711381,0.776174,0.773844,0.774095,0.785540,0.776177,0.812150,0.737452,0.757208,0.773379,0.774688,0.786225,0.758451,0.791055,0.709828,0.780034,0.774150,0.774680,0.785919,0.779919,0.825360,0.737305,0.764763,0.773802,0.774998,0.787246,0.764824,0.821877,0.709722,0.773322,0.773897,0.774076,0.784928,0.773992,0.812271,0.740296,0.764572,0.774227,0.774526,0.785573,0.764560,0.808900,0.730408,0.434587,0.000000,0.000322,0.128167,0.410316,1.000000,0.186885,0.680468,0.000200,0.000000,0.108558,0.663111,1.000000,0.433467,0.375302,0.031529,0.081261,0.103070,0.366610,1.000000,0.133681,0.252652,0.023668,0.026693,0.077784,0.245747,0.570634,0.101712,0.324522,0.022383,0.019588,0.091732,0.316357,0.687253,0.124411,0.350859,0.020627,0.005870,0.096702,0.338021,0.663131,0.180282,0.360660,0.024242,0.017406,0.088588,0.348697,0.673765,0.187652,0.378713,0.025194,0.020460,0.104871,0.364899,0.788412,0.176270,0.624969,0.012821,0.000000,0.074438,0.625066,0.797876,0.459332,0.001826,0.255669,1.000000,0.002794,0.000740,0.021175,0.000000,0.543551,0.000127,0.000000,0.169237,0.492164,1.000000,0.209227,0.859520,0.000000,0.508225,0.764801,0.869154,1.000000,0.705295,0.028495,0.000000,0.003641,0.091180,0.011274,1.000000,0.001346,0.009096,0.240846,1.000000,0.003021,0.008388,0.048179,0.000000
MT0005832516.mp3,0.599933,0.772244,0.799003,0.836499,0.604581,0.769665,0.000000,0.913260,0.774908,0.776128,0.810236,0.911295,1.000000,0.778554,0.743313,0.775985,0.776214,0.805481,0.741604,0.857348,0.656843,0.822287,0.775452,0.775527,0.794531,0.821545,0.884713,0.765546,0.768429,0.774422,0.777107,0.793278,0.769911,0.817739,0.689621,0.779322,0.775124,0.776107,0.789563,0.780153,0.827030,0.720402,0.768504,0.775770,0.776917,0.789316,0.767386,0.826073,0.702106,0.777947,0.775769,0.776140,0.786243,0.777375,0.813039,0.736663,0.754114,0.775212,0.775620,0.786123,0.754962,0.796358,0.718621,0.787171,0.776322,0.775870,0.788445,0.785046,0.828553,0.752288,0.763013,0.775507,0.775718,0.786156,0.762665,0.799523,0.727133,0.769716,0.774828,0.778484,0.786568,0.769987,0.814465,0.708876,0.768023,0.776191,0.776335,0.786224,0.766987,0.812200,0.731520,0.381661,0.000000,0.000747,0.119262,0.376541,1.000000,0.145010,0.568815,0.000030,0.000000,0.125164,0.534945,1.000000,0.366974,0.490385,0.026765,0.024022,0.129207,0.476029,0.934196,0.200312,0.294174,0.026362,0.033052,0.089400,0.288049,0.689044,0.110090,0.429483,0.029089,0.048298,0.101448,0.422912,0.935565,0.199826,0.427046,0.023057,0.015697,0.093291,0.417299,0.697660,0.211187,0.422495,0.030785,0.036632,0.085631,0.412143,0.768379,0.254317,0.502808,0.025936,0.013636,0.131781,0.484885,0.905178,0.251519,0.786183,0.011218,0.000000,0.087368,0.788670,1.000000,0.584029,0.000731,0.189901,1.000000,0.001386,0.000282,0.012619,0.000000,0.461985,0.000000,0.000132,0.150380,0.416059,1.000000,0.192473,0.146418,1.000000,0.487443,0.054223,0.138214,0.358465,0.000000,0.027006,0.000000,0.005289,0.081251,0.009902,1.000000,0.001237,0.014879,0.306627,1.000000,0.003779,0.013146,0.069509,0.000000
MT0007147603.mp3,0.657631,0.806171,0.825684,0.906637,0.685739,0.801528,0.000000,0.943718,0.809199,0.812903,0.832355,0.944005,1.000000,0.809994,0.756977,0.810283,0.809888,0.827731,0.756027,0.818363,0.708279,0.798297,0.809667,0.810576,0.819256,0.798606,0.828386,0.764399,0.801756,0.809486,0.810669,0.820311,0.802925,0.843904,0.767256,0.811890,0.810130,0.809867,0.817975,0.811776,0.837441,0.789285,0.796669,0.809798,0.810012,0.817531,0.796776,0.820610,0.772427,0.808517,0.810184,0.810283,0.816624,0.808339,0.831622,0.787472,0.796756,0.809939,0.809875,0.817450,0.796960,0.821612,0.773213,0.811005,0.809879,0.809915,0.817115,0.811215,0.833446,0.788797,0.797093,0.809916,0.809691,0.816960,0.796939,0.819668,0.773110,0.808656,0.809968,0.809721,0.816555,0.808736,0.827266,0.789305,0.799685,0.809794,0.810334,0.817248,0.799882,0.826616,0.774672,0.610727,0.000000,0.000116,0.092562,0.596903,1.000000,0.415523,0.655947,0.000052,0.000000,0.092911,0.649296,1.000000,0.442036,0.411556,0.025523,0.051504,0.110296,0.399466,1.000000,0.111688,0.281815,0.016303,0.009477,0.085766,0.277005,0.588673,0.089546,0.294106,0.017822,0.013443,0.074385,0.288149,0.548643,0.141829,0.317398,0.017944,0.019441,0.064041,0.313766,0.569133,0.139397,0.358519,0.019162,0.021519,0.059015,0.353632,0.585142,0.227396,0.343771,0.036051,0.062008,0.064800,0.332885,0.628380,0.239415,0.636352,0.014241,0.000000,0.058805,0.630664,0.807403,0.498720,0.003445,0.364922,1.000000,0.002759,0.002565,0.021826,0.000000,0.488683,0.000010,0.000000,0.126125,0.458866,1.000000,0.285442,0.841496,0.396118,0.000000,0.778839,0.848578,1.000000,0.728420,0.016320,0.000014,0.045453,0.038781,0.009824,1.000000,0.000000,0.027320,0.287737,1.000000,0.000000,0.026964,0.056070,0.008429
MT0033940994.mp3,0.377205,0.712618,0.717978,0.779329,0.387049,0.519437,0.000000,0.955031,0.710578,0.734520,0.739338,0.958870,1.000000,0.714441,0.675763,0.714575,0.714271,0.739135,0.673588,0.756675,0.605095,0.720471,0.714377,0.714105,0.726894,0.719904,0.764199,0.685751,0.733101,0.713699,0.714311,0.724446,0.733478,0.759470,0.689043,0.709385,0.714662,0.713978,0.725330,0.708307,0.747598,0.682298,0.706327,0.714031,0.713998,0.724706,0.706354,0.735787,0.671434,0.707815,0.714434,0.714205,0.724728,0.707507,0.740281,0.676519,0.700975,0.714624,0.714536,0.724328,0.700301,0.740307,0.673686,0.704448,0.714476,0.713625,0.725135,0.703861,0.738489,0.676219,0.710989,0.714112,0.714692,0.727160,0.710376,0.751543,0.664680,0.709539,0.713654,0.714295,0.727788,0.710723,0.747996,0.661672,0.715042,0.714446,0.714154,0.726789,0.714361,0.762539,0.675765,0.562803,0.000000,0.000125,0.103875,0.546059,1.000000,0.370781,0.505108,0.000000,0.001537,0.059424,0.501004,1.000000,0.379402,0.348542,0.028750,0.049245,0.110952,0.335284,0.935729,0.136311,0.338824,0.015138,0.007946,0.097987,0.331957,0.685861,0.101478,0.440270,0.012821,0.010000,0.100765,0.438217,0.755805,0.129845,0.463143,0.010309,0.001864,0.085943,0.462475,0.712297,0.220473,0.549759,0.016389,0.023667,0.080822,0.546290,0.894826,0.293807,0.679326,0.005419,0.019734,0.102116,0.682718,1.000000,0.350617,0.664307,0.011211,0.000000,0.068903,0.661476,0.861071,0.493030,0.000000,0.031915,1.000000,0.000000,0.000000,0.000006,0.000000,0.664538,0.000099,0.000000,0.105405,0.659473,1.000000,0.422397,0.080035,0.680425,1.000000,0.036228,0.075911,0.237237,0.000000,0.012820,0.000000,0.046438,0.032568,0.006658,1.000000,0.000223,0.050181,1.000000,0.431466,0.006347,0.040409,0.153349,0.000000
MT0014576739.mp3,0.698750,0.796500,0.804928,0.919181,0.702026,0.929083,0.000000,0.885739,0.797746,0.798987,0.841396,0.887928,1.000000,0.698277,0.790412,0.798367,0.798206,0.839656,0.790560,0.923449,0.673764,0.820627,0.798477,0.798365,0.829948,0.818162,0.910413,0.709470,0.792087,0.798375,0.797694,0.824567,0.790851,0.863537,0.716422,0.801915,0.797183,0.798752,0.823257,0.805103,0.856488,0.714996,0.794047,0.798809,0.799054,0.820675,0.791974,0.884571,0.724724,0.800974,0.798443,0.798679,0.816254,0.800766,0.871966,0.750918,0.792123,0.798481,0.798559,0.814998,0.791838,0.844622,0.737471,0.815574,0.798190,0.798705,0.816809,0.815466,0.881842,0.752972,0.786519,0.798042,0.798695,0.815057,0.786882,0.843509,0.728455,0.804737,0.798688,0.799253,0.814560,0.804300,0.873955,0.754525,0.790588,0.799173,0.799656,0.815040,0.788312,0.871171,0.741482,0.465683,0.000000,0.000226,0.127237,0.455124,1.000000,0.173333,0.719065,0.000009,0.000000,0.083132,0.713401,1.000000,0.469963,0.409911,0.028252,0.028078,0.130620,0.396916,0.892035,0.153080,0.352455,0.027021,0.017755,0.130120,0.340115,0.835129,0.097783,0.445161,0.021080,0.006518,0.144622,0.439484,0.919346,0.159631,0.449103,0.021198,0.000243,0.142511,0.437146,0.805318,0.178320,0.449808,0.029166,0.011650,0.132552,0.431157,0.879531,0.218719,0.459664,0.037904,0.025364,0.151860,0.418016,0.962628,0.242612,0.783783,0.018559,0.000000,0.095863,0.778735,1.000000,0.565492,0.011134,0.423436,1.000000,0.012291,0.006787,0.080238,0.000000,0.662357,0.000000,0.000024,0.138971,0.672107,1.000000,0.282327,0.117411,0.686933,1.000000,0.060052,0.107690,0.325436,0.000000,0.042721,0.000000,0.002214,0.132430,0.012067,1.000000,0.001465,0.044544,0.429724,1.000000,0.022994,0.039531,0.181903,0.000000
MT0000392975.mp3,0.548467,0.738971,0.747882,0.842889,0.565415,0.769341,0.000000,0.880134,0.741739,0.740092,0.793851,0.869812,1.000000,0.741326,0.722186,0.741155,0.741451,0.773340,0.721651,0.807693,0.621154,0.766273,0.741371,0.741588,0.758207,0.765641,0.820620,0.700355,0.742093,0.740611,0.741566,0.755243,0.743995,0.780470,0.696576,0.753299,0.741363,0.740713,0.751345,0.752915,0.782096,0.725044,0.729718,0.740953,0.742018,0.751897,0.730091,0.759901,0.689557,0.739147,0.741080,0.741640,0.751540,0.739361,0.766454,0.699371,0.731413,0.740901,0.742218,0.750757,0.731768,0.764538,0.691599,0.743227,0.741710,0.742621,0.751616,0.743622,0.789083,0.713151,0.733741,0.742347,0.744324,0.752816,0.732960,0.787783,0.689904,0.746084,0.742238,0.742952,0.752635,0.745035,0.793894,0.714378,0.736602,0.742166,0.743196,0.751819,0.735854,0.776491,0.697537,0.480852,0.000267,0.000000,0.172346,0.475257,1.000000,0.167437,0.614068,0.000340,0.000000,0.179816,0.599754,1.000000,0.252093,0.429768,0.018748,0.038873,0.109676,0.420091,1.000000,0.152947,0.311825,0.016766,0.013596,0.087715,0.300653,0.659072,0.119652,0.395998,0.010186,0.008296,0.088870,0.390927,0.724938,0.172190,0.435807,0.009511,0.003358,0.094252,0.428953,0.803778,0.211266,0.459733,0.010626,0.000000,0.092590,0.454053,0.767218,0.255202,0.445327,0.017116,0.000802,0.101102,0.421616,0.798220,0.244343,0.703074,0.007223,0.002664,0.063953,0.697322,0.921653,0.426566,0.003048,0.469769,1.000000,0.004073,0.001156,0.024870,0.000000,0.510105,0.000169,0.000000,0.226597,0.474213,1.000000,0.140080,0.624500,0.000000,0.308354,0.497277,0.634629,1.000000,0.393521,0.008975,0.000634,0.083693,0.027831,0.005697,1.000000,0.000000,0.465056,1.000000,0.000000,0.413591,0.455615,0.587551,0.396313
